1.09791e-14 8.99281e-15 -5.44009e-15 
3.832e-15 9.76996e-15 -2.44249e-15 
1.1558e-14 7.88258e-15 -5.60663e-15 
9.24955e-15 6.21725e-15 -5.4956e-15 
9.49935e-15 3.9968e-15 -3.10862e-15 
7.45931e-15 4.66294e-15 -7.49401e-15 
8.66668e-15 8.10463e-15 -4.05231e-15 
8.65974e-15 5.44009e-15 -7.16094e-15 
3.84415e-15 4.66294e-15 -8.71525e-15 
1.20598e-14 5.88418e-15 -8.82627e-15 
7.38298e-15 4.55191e-15 -1.03251e-14 
6.35603e-15 2.55351e-15 -8.54872e-15 
1.45717e-14 9.54792e-15 -7.32747e-15 
1.36557e-14 4.66294e-15 -1.03806e-14 
1.27121e-14 8.10463e-15 -9.88098e-15 
9.32587e-15 5.77316e-15 -9.9365e-15 
1.31561e-14 6.77236e-15 -1.01308e-14 
1.2268e-14 7.10543e-15 -6.55032e-15 
8.65974e-15 6.32827e-15 -9.32587e-15 
1.09357e-14 5.44009e-15 -7.57727e-15 
1.10467e-14 7.93809e-15 -8.65974e-15 
1.37668e-14 7.04992e-15 -9.95037e-15 
1.01585e-14 7.27196e-15 -5.91194e-15 
1.42109e-14 8.9373e-15 -7.77156e-15 
1.10467e-14 6.21725e-15 -1.23981e-14 
9.99201e-15 4.55191e-15 -7.50094e-15 
1.41553e-14 5.38458e-15 -8.70137e-15 
1.05471e-14 7.27196e-15 -1.35864e-14 
1.32117e-14 3.77476e-15 -3.88578e-15 
1.24345e-14 7.10543e-15 -8.21565e-15 
1.22402e-14 9.65894e-15 -9.13158e-15 
1.26843e-14 9.27036e-15 -7.24421e-15 
1.17684e-14 9.27036e-15 -9.4369e-15 
1.32949e-14 7.82707e-15 -6.80012e-15 
9.79772e-15 2.88658e-15 -7.13318e-15 
1.40443e-14 7.16094e-15 -7.10543e-15 
1.36835e-14 4.88498e-15 -8.24341e-15 
1.22367e-14 1.08802e-14 -1.30451e-14 
1.17441e-14 2.77556e-15 -1.28786e-14 
1.30729e-14 7.88258e-15 -9.10383e-15 
1.60774e-14 8.27116e-15 -9.65894e-15 
