time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2014-03-29T04:09:42.170Z,33.9325,-117.9158333,5.09,5.1,mw,321,9,0.01443,0.24,ci,ci15481673,2016-09-26T21:34:48.167Z,"2km NW of Brea, CA",earthquake,0.1,0.21,,6,reviewed,ci,ci
2014-03-10T10:28:18.500Z,40.7778,-125.1915,19.3,4.5,Mw,,230.4,0.82645006,0.21,nc,nc72182306,2015-05-18T22:31:56.194Z,"81km WNW of Ferndale, California",earthquake,1,2.7,,4,reviewed,nc,nc
2014-03-10T05:18:13.400Z,40.8287,-125.1338,16.6,6.8,Mw,,230.4,0.65577016,0.15,nc,nc72182046,2016-09-07T13:17:24.322Z,"78km WNW of Ferndale, California",earthquake,0.6,1.9,,5,reviewed,nc,nc
2014-03-05T02:24:23.350Z,31.3228,-119.4094,7.2,4.6,mb,,176,1.921,0.67,us,usb000n1b3,2016-03-11T02:17:41.832Z,"246km SSW of Avalon, California",earthquake,,5,0.051,117,reviewed,us,us
2014-01-23T04:10:41.100Z,40.411,-125.3412,23.8,4.6,Mw,,241.2,0.76356799,0.27,nc,nc72145230,2015-05-18T22:11:03.239Z,"93km W of Ferndale, California",earthquake,1.1,8.8,,5,reviewed,nc,nc
2014-01-12T20:24:46.700Z,38.8135,-122.8162,2.6,4.5,Mw,,25.2,0.00898315,0.05,nc,nc72141176,2016-07-19T21:56:09.838Z,"6km NW of The Geysers, California",earthquake,0.1,0.1,,10,reviewed,nc,nc
2013-12-20T05:27:08.000Z,31.22,-115.908,6,4.8,mwr,,,,1.57,us,usc000lnnb,2016-03-12T05:58:59.316Z,"43km NNE of Camalu, Mexico",earthquake,,1.8,0.066,,reviewed,ecx,us
2013-11-08T10:46:56.000Z,41.3257,-125.2915,12,4.7,Mw,,237.6,0.96119735,0.19,nc,nc72103326,2016-03-11T20:36:25.540Z,"102km WSW of Crescent City, California",earthquake,1.2,17.8,,5,reviewed,nc,nc
2013-10-11T23:05:37.300Z,40.9835,-124.7498,8.7,4.9,Mw,,212.4,0.49407341,0.17,nc,nc72086051,2016-03-11T03:56:52.069Z,"53km WNW of Eureka, California",earthquake,0.4,1,,6,reviewed,nc,nc
2013-08-03T02:25:49.900Z,40.8082,-124.4018,20.5,4.5,Mw,,216,0.19762936,0.09,nc,nc72042291,2015-01-28T07:12:01.697Z,"18km WNW of Bayview, California",earthquake,0.5,0.3,,5,reviewed,nc,nc
2013-05-29T14:38:03.410Z,34.4061667,-119.9198333,7.12,4.8,mw,37,63,,0.44,ci,ci15350729,2016-09-14T22:18:17.920Z,"6km W of Isla Vista, CA",earthquake,0.46,1.56,,6,reviewed,ci,ci
2013-05-24T08:02:19.400Z,40.1827,-121.0718,5.2,4.9,Ml,,136.8,0.08084838,0.09,nc,nc71997821,2015-01-28T08:31:38.940Z,"11km WNW of Greenville, California",earthquake,0.3,0.9,0.2,91,reviewed,nc,nc
2013-05-24T03:48:57.100Z,40.1875,-121.0653,4.4,4.6,Md,,162,0.08084838,0.03,nc,nc71071964,2015-01-30T23:38:01.057Z,"11km WNW of Greenville, California",earthquake,0.6,2.4,0.2,15,reviewed,nc,nc
2013-05-24T03:47:08.100Z,40.1918,-121.0595,9.7,5.7,Mw,,68.4,0.08084838,0.08,nc,nc71996906,2015-12-23T07:06:59.260Z,"10km WNW of Greenville, California",earthquake,0.3,0.7,,5,reviewed,nc,nc
2013-03-14T09:09:23.300Z,38.8123,-122.7862,2.2,4.5,Mw,,21.6,0,0.07,nc,nc71954065,2016-03-11T12:37:01.583Z,"5km WSW of Cobb, California",earthquake,0.1,0.1,,7,reviewed,nc,nc
2013-03-11T16:56:06.060Z,33.5008333,-116.4581667,10.943,4.7,mh,110,16,,0.22,ci,ci15296281,2016-03-11T12:35:35.564Z,"21km ESE of Anza, CA",earthquake,0.14,0.32,,0,reviewed,ci,ci
2013-02-13T00:10:13.180Z,38.1361667,-118.0398333,-2.386,5.15,mw,8,264,0.2752,0.21,ci,ci11243586,2016-03-12T03:38:56.931Z,"67km SE of Hawthorne, NV",earthquake,3.65,4.9,,6,reviewed,ci,ci
2012-10-21T06:55:09.930Z,36.3241667,-120.8466667,15.426,5.3,mh,20,88,0.2588,0.55,ci,ci15233041,2016-03-11T23:47:03.715Z,"28km ENE of King City, CA",earthquake,1.35,4.86,,0,reviewed,ci,ci
2012-09-25T15:15:09.890Z,39.168,-123.165,11.5,4.5,mwr,136,124.9,,,us,usp000jsys,2015-01-28T07:57:38.061Z,"Northern California",earthquake,,,,,reviewed,nc,brk
2012-08-27T04:41:37.000Z,33.0211667,-115.5195,4.17,4.9,mw,40,82,0.04196,0.21,ci,ci15202921,2016-03-12T03:25:51.512Z,"5km NNE of Brawley, CA",earthquake,0.42,0.64,,6,reviewed,ci,ci
2012-08-26T23:33:25.130Z,33.028,-115.5305,7.47,4.61,mw,62,82,0.04411,0.22,ci,ci15201537,2016-03-12T05:17:52.460Z,"6km N of Brawley, CA",earthquake,0.26,0.63,,6,reviewed,ci,ci
2012-08-26T20:57:58.220Z,33.0185,-115.5403333,8.283,5.44,mw,47,47,0.0329,0.16,ci,ci15200401,2016-03-11T03:21:21.682Z,"4km NNW of Brawley, CA",earthquake,0.3,0.66,,6,reviewed,ci,ci
2012-08-26T19:33:01.090Z,33.0135,-115.5591667,4.387,4.89,mw,50,75,0.02933,0.17,ci,ci15199689,2016-03-11T05:12:05.482Z,"5km NW of Brawley, CA",earthquake,0.29,0.47,,6,reviewed,ci,ci
2012-08-26T19:31:23.040Z,33.0171667,-115.5536667,8.323,5.32,mw,56,73,0.03163,0.21,ci,ci15199681,2016-03-11T03:21:14.648Z,"5km NNW of Brawley, CA",earthquake,0.32,0.72,,6,reviewed,ci,ci
2012-08-26T19:20:04.810Z,33.0158333,-115.5363333,4.79,4.59,mw,23,87,0.03107,0.12,ci,ci15199593,2016-03-11T16:00:04.539Z,"4km N of Brawley, CA",earthquake,0.39,0.48,,6,reviewed,ci,ci
